_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt
BnsZCvpTGyTJkpF5n,46,Submission 21, ,2021-01-23T00:10:20Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
xhcuC5YoDkCXmXhv7,47,Submission 22, ,2021-01-23T00:10:20Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
jL4BAMjZoEBCvDqrT,48,Submission 23, ,2021-01-23T00:10:21Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
GrHbAHieP93ScC4Fm,49,Submission 24, ,2021-01-23T00:10:21Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
6fFeHuW8aAHyc23Pu,50,Submission 25, ,2021-01-23T00:10:22Z,30,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
LDvxA7pWeQ2ztWX6X,51,Reflection, ,2021-01-23T00:10:23Z,300,MK4mer2Rv22dyrkZ3,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
xzhL92ZCj8viC3wwf,52,Submission 1, ,2021-01-23T00:10:26Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
vzdsj6wJgjaAFWRs7,53,Submission 2, ,2021-01-23T00:10:28Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
FYbBaDTDKJ2FE38Ah,54,Submission 3, ,2021-01-23T00:10:30Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
3QQNA37ddPwh4H6yD,55,Submission 4, ,2021-01-23T00:10:31Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
cjkdLw4DFczJDFoui,56,Submission 5, ,2021-01-23T00:10:31Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
dJdqdGb592fGbx2LA,57,Submission 6, ,2021-01-23T00:10:32Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
hs6GNPyND9F5TjGNg,58,Submission 7, ,2021-01-23T00:10:32Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
tDR9n6maGp35YpvPP,59,Submission 8, ,2021-01-23T00:10:34Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
WbhDXCrsDFoFF2qKD,60,Submission 9, ,2021-01-23T00:10:35Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
DyqwwhZR2xPpj6KFJ,61,Submission 10, ,2021-01-23T00:10:35Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
B7P6tjMaB3ffb79BP,62,Submission 11, ,2021-01-23T00:10:36Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
k7tjzwEJTSBYTvTjL,63,Submission 12, ,2021-01-23T00:10:37Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
TPPnMdPn3tXDRwRtx,64,Submission 13, ,2021-01-23T00:10:38Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
WSEZ4wZ36GWczyaBv,65,Submission 14, ,2021-01-23T00:10:38Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
uSts6K3xxESKGCNkA,66,Submission 15, ,2021-01-23T00:10:39Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
a5XxBFdkwGEx4fwXC,67,Submission 16, ,2021-01-23T00:10:40Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
gP32AtiM8TKMuC8zy,68,Submission 17, ,2021-01-23T00:10:40Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
qLpFZTgnWMECnbg5X,69,Submission 18, ,2021-01-23T00:10:41Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
vGBnXzWHgAHncRJdn,70,Submission 19, ,2021-01-23T00:10:41Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
3hu57BmKpZ73ZSaZK,71,Submission 20, ,2021-01-23T00:10:42Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
uh9xpQFtxr7AKdBav,72,Submission 21, ,2021-01-23T00:10:43Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
oLdSnPX5dneRvTftv,73,Submission 22, ,2021-01-23T00:10:43Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
W2j3foXWprpS4FDCX,74,Submission 23, ,2021-01-23T00:10:44Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
trRMcQHAdkxxG4BLt,75,Submission 24, ,2021-01-23T00:10:44Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
HoQ4MAEFgwS4yb8ie,76,Submission 25, ,2021-01-23T00:10:46Z,30,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
sij2z8ieppPbff5q2,77,Reflection, ,2021-01-23T00:10:46Z,300,eEvnk3efQF5ZpCYBG,u8MT84QCCwoBX4HaF,2021-01-23T00:07:58Z
